point_index,target_tx_mm,target_ty_mm,target_tz_mm,before_tx_mm,before_ty_mm,before_tz_mm,after_tx_mm,after_ty_mm,after_tz_mm,commanded_delta_ndi_mm_x,commanded_delta_ndi_mm_y,commanded_delta_ndi_mm_z,achieved_delta_ndi_mm_x,achieved_delta_ndi_mm_y,achieved_delta_ndi_mm_z,error_mm
0,-12.4173,-252.947,82.143,34.9627,-248.995,5.11851,-13.3283,-250.357,83.4245,-47.38,-3.95205,77.0245,-48.291,-1.36245,78.306,3.02956
1,-12.6056,-252.17,83.2568,-13.3793,-250.378,83.4735,-13.4176,-249.798,83.8854,0.77367,-1.79195,-0.216778,-0.0383141,0.579776,0.41186,2.58449
2,-13.8521,-252.58,84.7388,-13.4282,-249.779,83.8965,-14.4589,-247.871,85.0983,-0.42393,-2.80098,0.842359,-1.03072,1.90765,1.20188,4.76116
3,-15.3569,-253.97,86.4822,-14.4549,-247.869,85.0937,-16.6499,-248.084,87.2507,-0.901912,-6.1009,1.38858,-2.19493,-0.214733,2.15699,6.0753
4,-12.3826,-254.815,81.1829,-16.7903,-248.122,87.1961,-15.3177,-247.608,82.5126,4.40766,-6.69249,-6.01316,1.47262,0.514606,-4.68345,7.89461
5,-10.4609,-255.472,79.6557,-15.3127,-247.571,82.477,-13.1059,-248.391,79.5467,4.85185,-7.90074,-2.82129,2.20677,-0.819978,-2.93029,7.55947
6,-16.5104,-249.403,79.968,-13.0643,-248.359,79.5469,-16.8093,-246.968,80.6333,-3.44612,-1.04371,0.421094,-3.74504,1.39096,1.08641,2.54158
