capture_id,timestamp_ms,shoulder_roll_joint_rad,shoulder_pitch_joint_rad,shoulder_yaw_joint_rad,elbow_pitch_joint_rad,elbow_yaw_joint_rad,wrist_pitch_joint_rad,wrist_roll_joint_rad,moveit_pose_x_mm,moveit_pose_y_mm,moveit_pose_z_mm,moveit_pose_qw,moveit_pose_qx,moveit_pose_qy,moveit_pose_qz,moving_camera_q0,moving_camera_qx,moving_camera_qy,moving_camera_qz,moving_camera_tx_mm,moving_camera_ty_mm,moving_camera_tz_mm,moving_camera_error,moving_camera_frame,moving_camera_visible_markers,moving_accepted_samples,fixed_camera_q0,fixed_camera_qx,fixed_camera_qy,fixed_camera_qz,fixed_camera_tx_mm,fixed_camera_ty_mm,fixed_camera_tz_mm,fixed_camera_error,fixed_camera_frame,fixed_camera_visible_markers,fixed_accepted_samples,moving_relative_fixed_q0,moving_relative_fixed_qx,moving_relative_fixed_qy,moving_relative_fixed_qz,moving_relative_fixed_tx_mm,moving_relative_fixed_ty_mm,moving_relative_fixed_tz_mm,moving_relative_fixed_error,moving_relative_fixed_frame,moving_relative_fixed_visible_markers
1,1786462522140,1.68111581793,-0.146009575955,-0.0399558997763,-1.96544635747,0.00460194236366,-1.15675988527,-1.37386259851,-166.787695512,-17.0218998236,212.122190392,0.0407622595204,0.0475882132544,0.997477358463,-0.0333574506249,0.250467804689,0.649351703138,-0.334463571996,0.635407242211,-13.6407469432,129.024218241,-1052.62274577,0.16762410601,472531,4,30,0.194476339544,-0.442230810149,-0.37698560007,-0.790248518665,88.7261909485,-90.6145144145,-961.76311849,0.305020734668,472531,4,30,-0.614494949437,0.740896845298,0.261530066456,-0.0712028516601,-16.5204780859,-244.700013628,82.6112090436,0.348045240584,472531,4
2,1786462566992,1.70233819976,-0.150620404669,0.00739924069931,-1.96389018459,0.00460194236366,-1.15830429099,-1.37386259851,-166.672389973,-17.1643779639,211.508328197,0.0407678915889,0.0346785090059,0.99852538651,-0.00907923589886,0.252486755408,0.629446776112,-0.332184263694,0.655515681994,-14.1680620829,129.761286926,-1053.00118408,0.157935367525,475225,4,30,0.194466725545,-0.442262903218,-0.376969854865,-0.790240435321,88.727327474,-90.6148106893,-961.766052246,0.303453070919,475225,4,30,-0.622072230282,0.743687067578,0.238085135246,-0.0571940049737,-16.5385200431,-245.672654152,82.7548139385,0.342092599401,475225,4
3,1786462589051,1.68111581793,-0.146009575955,-0.0399558997763,-1.96389018459,0.00460194236366,-1.15675988527,-1.37386259851,-166.465553507,-17.002395022,211.910532397,0.0415330569068,0.0475899333867,0.997448897007,-0.0332550940935,0.250635338488,0.649189426806,-0.33452624303,0.635474002575,-13.6292434692,128.982912699,-1052.62208659,0.168057476481,476551,4,30,0.194459344007,-0.442239308446,-0.376991051332,-0.790245344693,88.7235285441,-90.6148422241,-961.762327067,0.304492139816,476551,4,30,-0.614425671804,0.741007567395,0.261422864908,-0.0710419917701,-16.5207548859,-244.665763984,82.5862482423,0.347791285991,476551,4
4,1786462932948,1.62048044127,-0.139861804336,-0.139105725147,-1.96855870325,0.0153398078789,-1.14594904522,-1.40617067753,0,0,0,1,0,0,0,0.251186506725,0.689230387794,-0.326425625592,0.596081472903,-12.7314594269,130.112475586,-1051.0539917,0.177291514476,497206,4,30,0.194477366998,-0.442229619795,-0.376993602482,-0.790245114372,88.7282320658,-90.6116714478,-961.764459229,0.304665156205,497206,4,30,-0.603938101086,0.727796982112,0.312269373381,-0.0897672620293,-15.6468039814,-244.1466924,84.4595098608,0.352495586513,497206,4
