pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
146,3605,2654,2260,2413,2501,1589,934
147,3416,2673,2260,2094,2337,1525,932
148,3077,2650,2262,1774,2001,1890,935
149,3069,2515,2262,1589,1952,2070,1015
150,3069,2318,2255,1469,1873,2207,975
151,3069,2138,2210,1450,1866,2411,968
152,3069,1899,2156,1405,1860,2609,902
153,2949,1760,2004,1395,1861,3003,1304
154,2750,1705,1843,1421,1861,3122,1644
155,2642,1660,1662,1549,1865,3171,1905
156,2657,1883,1665,1929,1858,2861,1795
157,2657,1993,1513,2096,1858,2701,1852
158,2654,2059,1280,2162,1859,2551,2064
159,2653,2141,1108,2205,1857,2454,2064
160,2641,2143,920,2357,2426,2198,1930
161,2596,2143,930,2410,2788,2144,1930
162,2523,2143,1121,2407,2889,1971,1925
163,2520,2145,1347,2410,2639,1821,1741
164,2365,2341,1366,2407,2634,1604,1762
165,2322,2422,1526,2400,2622,1570,1856
166,2235,2336,1665,2240,2685,1492,1948
167,2234,2119,1712,2133,2684,1747,1887
168,2234,1996,1959,2113,2256,1960,1817
169,2235,1984,2008,2115,2103,1985,1821
170,2236,1754,2078,2138,1881,2251,1865
171,2226,1676,2043,2139,1871,2310,1992
172,2242,1576,2077,2147,1873,2416,1990
173,2249,1529,2180,2148,1872,2439,1924
174,2310,1438,2276,2149,1871,2574,1749
175,2326,1483,2280,2428,1792,2165,1656
176,2310,1488,2214,2678,1742,2019,1657
177,2214,1490,2140,2900,1742,1775,1660
178,1978,1483,1953,2873,1807,1754,2082
179,1793,1449,1922,2778,2079,1821,2425
180,1645,1308,1877,2726,2101,2127,2684
181,1588,1142,1875,2723,2101,2296,2779
182,1382,1104,1875,2727,2103,2334,3007
183,1055,1057,1873,2802,2133,2312,3354
184,1059,1094,1873,2997,2133,2016,3354
185,1056,1282,1874,3026,2210,1810,3349
186,906,1109,1557,3093,2153,2117,3753
187,896,851,1341,3192,1719,2169,3753
188,835,852,1236,3192,1360,2190,3754
189,430,851,1266,3273,1880,2068,348
190,414,1036,1263,3236,1939,1891,481
