pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
146,725,1611,2274,1104,2348,1532,2816
147,540,1769,2268,1121,2346,1368,2816
148,486,2081,2252,1053,2346,995,2816
149,347,2216,1801,1206,2116,1006,2816
150,347,2431,1531,1013,2121,1682,2814
151,348,2431,1531,1192,2132,1831,2820
152,348,2512,1494,1270,2270,1788,2974
153,347,2697,1416,1292,2338,1796,3031
154,353,3008,1377,1264,2248,1885,3115
155,423,3010,1269,1163,1973,1746,2777
156,441,3146,1076,887,1838,2020,2669
157,441,3111,1077,1202,1993,1842,2623
158,656,3106,1075,1211,1888,1827,2349
159,689,3232,1079,1320,1628,1570,2179
160,647,3228,1078,829,1802,2156,2435
161,749,3223,1075,881,1814,2227,2237
162,901,3014,1075,1023,1773,2099,2208
163,908,2971,1074,1018,1488,2079,2134
164,1232,2966,940,1134,1987,1931,1676
165,1393,2761,949,1089,2243,1964,1667
166,1393,2138,2029,1986,2027,1926,2516
167,1393,2127,1912,1979,2036,1925,2515
168,1393,2110,1784,1923,2370,2009,2527
169,1393,2059,1669,1871,2481,2066,2525
170,1391,2128,1992,2042,2277,1934,2527
171,1391,2206,2211,2059,2018,1705,2748
172,1380,2273,2333,2036,1930,1604,2859
173,1293,2271,2460,1994,1721,1670,2854
174,1274,2250,2733,1872,1432,1776,2972
175,1255,2059,2630,1809,1457,2070,2991
176,1231,1998,2370,1795,1590,2083,2856
177,1208,1947,2157,1798,2010,2280,2842
178,1132,1946,1928,1847,2298,2267,2838
179,1110,1868,1762,1848,2549,2359,2835
180,1092,1737,1420,1844,3031,2430,2737
181,1090,1595,1311,1820,3215,2460,2695
182,1090,1392,1303,1826,3246,2708,2755
183,1252,1090,1306,2095,3248,3004,2671
184,1255,1422,1305,2111,3249,2719,2735
185,1255,1727,1370,2195,3245,2576,2735
186,1254,1874,1496,2199,2905,2194,2883
187,1253,2031,1753,2206,2554,1911,2951
188,1253,2036,1983,2205,2288,1834,2949
189,1253,2047,2121,2204,2128,1741,2893
190,1253,2074,2403,2203,2011,1714,2931
191,1252,2077,2696,2203,1581,1718,2931
192,1254,2078,2939,2203,1312,1857,2932
