pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
1,3094,2079,2073,828,2088,1244,1062
2,3174,2047,2001,829,2091,1295,1061
3,3238,2047,1959,829,2092,1276,1165
4,3300,2032,1899,828,2092,1213,1164
5,3276,2033,1948,828,2087,1048,1165
6,3273,2039,2073,828,2082,1060,1164
7,3219,2035,2187,829,2088,1058,1144
8,3220,1978,2189,829,2089,1086,1143
9,3221,1954,2187,828,2092,1197,1146
10,3219,1928,2189,828,2089,1340,1145
11,3258,1896,2187,829,2097,1395,1147
12,3337,1853,2187,829,2097,1345,1147
13,3335,1938,2186,829,2096,1416,1311
14,3340,1879,2139,829,2097,1329,1308
15,3335,1844,2141,828,2082,1214,1305
16,3199,1960,2141,828,2086,1300,1229
17,3021,1960,2140,828,2088,1352,1050
18,2902,1943,2139,828,2090,1412,933
19,2869,1873,2139,829,2092,1258,802
20,2978,1836,2031,829,2090,1296,903
21,3190,1837,2031,828,2092,1256,1095
22,3191,1830,2032,829,2089,1439,1157
23,3268,1827,2029,829,2095,1368,1160
24,3319,1792,2031,828,2090,1243,1159
25,3244,1852,2031,828,2081,1258,1155
26,3141,1852,2031,828,2081,1355,1155
27,3096,1852,2032,828,2082,1570,1229
28,3048,1853,2134,828,2084,1398,1062
29,3046,1849,2256,828,2085,1297,1032
30,2978,1848,2325,828,2086,1397,1122
31,3096,1785,2323,829,2099,1270,1122
32,3172,1810,2294,830,2095,1151,1205
33,3270,1842,2292,830,2097,1236,1322
34,3253,1854,2050,828,2089,1255,1315
35,3254,1874,1945,844,2094,1305,1316
36,3255,1876,1944,842,2093,1470,1271
37,3250,1912,2066,843,2081,1462,1272
38,3245,1910,2165,835,2081,1421,1273
39,3146,1913,2168,829,2082,1357,1270
40,3148,1911,2178,829,2090,1192,1199
41,3198,1910,2128,829,2095,1203,1260
42,3282,1911,2107,829,2096,1323,1267
43,3304,1917,2100,830,2093,1472,1373
44,3304,1912,2100,829,2092,1201,1286
45,3301,1912,2234,828,2087,1128,1288
46,3301,1915,1910,829,2086,1294,1313
47,3301,1916,1898,829,2091,1161,1259
48,3297,1911,1968,828,2078,1150,1245
49,3297,1910,2067,828,2079,1180,1245
50,3253,1910,2123,828,2081,1286,1255
51,3204,1916,1976,829,2090,1402,1370
52,3206,1917,1888,830,2097,1283,1224
53,3206,1916,1992,828,2085,1212,1141
54,3204,1911,2055,828,2082,1211,1160
55,3188,1911,2186,828,2085,1277,1200
56,3179,1911,2228,827,2083,1355,1253
57,3087,1911,2204,829,2087,1430,1297
58,3018,1911,2205,829,2094,1208,1036
59,3143,1856,2083,829,2100,1232,1157
60,3193,1860,1982,829,2098,1288,1190
61,3275,1858,1982,832,2093,1418,1274
62,3271,1856,1983,832,2082,1512,1272
63,3160,1854,2086,830,2082,1499,1272
64,3079,1845,2213,828,2083,1365,1271
65,3078,1749,2229,829,2101,1220,1200
66,3170,1751,2135,829,2100,1227,1202
67,3236,1753,2066,830,2100,1304,1203
68,3253,1826,1904,829,2086,1514,1201
69,3144,1836,1921,827,2077,1615,1227
70,3078,1834,2029,828,2079,1562,1227
71,3040,1830,2108,828,2078,1497,1226
72,3005,1830,2165,828,2080,1362,1178
73,3115,1793,2012,829,2097,1172,1013
74,3177,1848,1822,828,2082,1463,1103
75,3120,1848,1944,828,2080,1520,1147
76,3120,1847,2095,828,2080,1485,1180
77,3116,1846,2193,828,2079,1432,1180
78,3083,1802,2364,829,2092,1295,1224
79,3141,1777,2248,830,2099,1208,1161
80,3141,1778,2169,830,2101,1197,1150
81,3141,1778,1959,829,2099,1203,1148
82,3139,1886,1960,827,2082,1345,1121
83,3129,1884,2022,828,2079,1323,1145
84,3037,1885,2111,828,2081,1321,1144
85,3016,1866,2240,828,2092,1216,1145
86,3098,1809,2176,829,2101,1156,1088
87,3148,1812,1996,830,2098,1310,1146
88,3148,1855,1945,830,2100,1322,1145
89,3159,1986,1896,829,2084,1393,1142
90,3145,1983,1937,829,2077,1400,1142
91,3058,1984,1996,829,2083,1400,1141
92,3054,1983,1997,829,2083,1398,1141
93,3049,1984,1997,829,2083,1396,1141
94,3018,1983,1998,829,2082,1388,1141
95,2963,1983,2001,827,2077,1337,1140
96,2943,1972,2156,828,2088,1252,1114
97,3108,1979,2083,829,2099,1176,1119
98,3161,1979,2011,829,2098,1301,1204
99,3181,1970,2055,828,2077,1448,1286
100,3081,1973,2219,828,2083,1379,1203
