tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,predicted_x_mm,predicted_y_mm,predicted_z_mm
3094,2079,2073,828,2088,1244,1062,26.4050,-240.8609,29.5733
3300,2032,1899,828,2092,1213,1164,-42.8538,-248.2833,11.1565
3220,1978,2189,829,2089,1086,1143,3.9470,-219.8257,20.1818
3094,2079,2073,828,2088,1244,1062,26.4050,-240.8609,29.5733
3300,2032,1899,828,2092,1213,1164,-42.8538,-248.2833,11.1565
3220,1978,2189,829,2089,1086,1143,3.9470,-219.8257,20.1818
3094,2079,2073,828,2088,1244,1062,26.4050,-240.8609,29.5733
3300,2032,1899,828,2092,1213,1164,-42.8538,-248.2833,11.1565
3220,1978,2189,829,2089,1086,1143,3.9470,-219.8257,20.1818
