test_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,achieved_tick_0,achieved_tick_1,achieved_tick_2,achieved_tick_3,achieved_tick_4,achieved_tick_5,achieved_tick_6,max_tick_error,predicted_x_mm,predicted_y_mm,predicted_z_mm,actual_x_mm,actual_y_mm,actual_z_mm,deviation_mm
1,3094,2079,2073,828,2088,1244,1062,3093,2081,2070,828,2083,1241,1057,5,26.405,-240.8609,29.5733,17.1066521,-248.320576,53.9499045,27.1353071
2,3300,2032,1899,828,2092,1213,1164,3297,2031,1895,829,2084,1215,1157,8,-42.8538,-248.2833,11.1565,-57.0235529,-253.79196,31.3828999,25.3028553
3,3220,1978,2189,829,2089,1086,1143,3219,1978,2186,828,2086,1090,1138,5,3.947,-219.8257,20.1818,-3.23860002,-223.599048,39.6341701,21.0776115
4,3094,2079,2073,828,2088,1244,1062,3093,2079,2069,828,2086,1241,1057,5,26.405,-240.8609,29.5733,16.3034581,-248.349516,54.0806662,27.5450815
5,3300,2032,1899,828,2092,1213,1164,3297,2031,1896,828,2086,1215,1157,7,-42.8538,-248.2833,11.1565,-57.1533828,-253.850754,31.3220133,25.3401369
6,3220,1978,2189,829,2089,1086,1143,3219,1977,2186,829,2087,1090,1138,5,3.947,-219.8257,20.1818,-3.27463747,-223.651095,39.5672985,21.0376626
7,3094,2079,2073,828,2088,1244,1062,3093,2078,2070,828,2087,1240,1057,5,26.405,-240.8609,29.5733,16.2233343,-248.372472,54.1064517,27.6037236
8,3300,2032,1899,828,2092,1213,1164,3297,2030,1896,829,2086,1215,1157,7,-42.8538,-248.2833,11.1565,-57.104963,-253.928172,31.1077327,25.1597281
9,3220,1978,2189,829,2089,1086,1143,3219,1978,2186,829,2088,1090,1138,5,3.947,-219.8257,20.1818,-3.2915279,-223.462926,39.6806509,21.1147079
