pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
1,3407,1728,2086,829,2095,1557,1276
2,3079,1731,2085,829,2091,1500,1124
3,3073,1911,2086,830,2094,1436,1123
4,3283,1682,2086,859,2096,1603,1217
5,2976,1682,2087,849,2089,1584,1049
6,2978,1895,2086,829,2095,1310,1050
7,3215,1789,2086,829,2094,1456,1148
8,3351,1673,2086,832,2095,1641,1245
9,3351,1589,2085,951,2088,1647,1243
10,3153,1649,2087,930,2085,1560,1163
11,3140,1910,2087,829,2086,1420,1162
12,3308,1756,2080,840,2094,1268,1260
13,3309,1836,2080,829,2093,1658,1308
14,3086,1828,2117,828,2082,1604,1163
15,3089,1758,2135,828,2091,1304,1123
16,3245,1756,2133,829,2095,1460,1190
17,3314,1755,2135,836,2095,1660,1259
18,3426,1757,2134,831,2093,1406,1282
19,3218,1756,2135,828,2085,1263,1208
20,3156,1754,2135,828,2087,1493,1208
21,3281,1655,2134,829,2094,1623,1212
22,3416,1815,2134,899,2088,1442,1384
23,3017,1815,2134,831,2088,1565,1073
24,3071,1674,2134,915,2095,1570,1054
25,3268,1688,2134,912,2094,1521,1190
26,3407,1841,2134,829,2094,1459,1309
27,2953,1930,2132,829,2090,1371,1039
28,2934,1748,2133,829,2095,1510,1039
29,3116,1653,2133,829,2097,1586,1115
30,3266,1658,2133,830,2097,1588,1182
31,3388,1658,2133,842,2096,1603,1256
32,3251,1744,2134,829,2089,1462,1208
33,3158,1645,2135,883,2088,1611,1207
34,3122,1886,2117,828,2093,1379,1169
35,3122,1887,2117,828,2094,1285,1167
36,3111,1884,2220,828,2085,1269,1132
37,3037,1890,2236,829,2090,1467,1161
38,3041,1891,2168,829,2099,1525,1193
39,3074,1892,2128,829,2099,1525,1193
40,3143,1889,2045,829,2100,1497,1219
41,3204,1885,1977,829,2096,1382,1169
42,3209,1880,1979,829,2092,1295,1168
43,3207,1809,1991,827,2078,1262,1168
44,3206,1823,2112,828,2082,1271,1169
45,3116,1864,2148,828,2080,1320,1167
