test_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,achieved_tick_0,achieved_tick_1,achieved_tick_2,achieved_tick_3,achieved_tick_4,achieved_tick_5,achieved_tick_6,max_tick_error,predicted_x_mm,predicted_y_mm,predicted_z_mm,actual_x_mm,actual_y_mm,actual_z_mm,deviation_mm
1,964,1912,2018,3277,2089,2990,3078,962,1911,2015,3276,2088,2990,3073,5,0,0,0,54.8807653,-228.823878,18.9569109,236.075475
2,1463,2150,2011,3273,2093,2734,3524,1461,2154,2008,3275,2088,2732,3519,5,0,0,0,-87.6763564,-266.70883,45.9343289,284.483226
3,1279,2152,2010,3276,2094,2721,3347,1278,2150,2008,3276,2088,2723,3342,6,0,0,0,-44.1774057,-265.080925,80.9187773,280.655284
4,1023,2150,2009,3277,2095,2736,3095,1023,2148,2008,3276,2088,2737,3091,7,0,0,0,24.0222927,-241.815117,108.028134,265.935517
5,596,2156,2010,3277,2091,2851,2728,596,2155,2008,3276,2088,2848,2721,7,0,0,0,108.505993,-157.167159,89.0044813,210.705634
6,671,2315,2013,3277,2083,2576,2734,669,2321,2010,3276,2077,2578,2731,6,0,0,0,98.8264347,-161.716707,168.794828,253.792536
7,901,2395,2012,3199,2086,2640,2935,899,2396,2010,3202,2080,2638,2930,6,0,0,0,28.3373756,-204.539067,191.853009,281.863112
8,1169,2401,2011,3193,2084,2551,3230,1166,2400,2010,3194,2080,2552,3225,5,0,0,0,-58.2187995,-257.139894,178.945083,318.640387
9,1171,2537,2012,3232,2083,2397,3235,1168,2543,2010,3235,2080,2399,3228,7,0,0,0,-87.195378,-214.346601,213.775265,315.035495
10,1043,2610,2010,3231,2095,2258,3105,1042,2610,2010,3233,2089,2261,3101,6,0,0,0,-48.9896834,-193.701393,258.243897,326.512066
11,932,2745,2009,3232,2098,2165,2985,932,2750,2005,3230,2092,2166,2979,6,0,0,0,-36.3909843,-128.778528,289.811955,319.216513
12,972,2822,2011,3229,2090,2138,2991,970,2821,2008,3226,2084,2139,2986,6,0,0,0,-68.9400753,-109.31802,293.278848,320.492818
13,970,2633,2011,3216,2091,2336,2990,970,2631,2008,3217,2084,2337,2986,7,0,0,0,-32.4106216,-168.245422,261.215403,312.394713
14,972,2457,2012,3172,2091,2585,2991,970,2455,2008,3175,2085,2583,2986,6,0,0,0,1.09778447,-215.993601,212.398085,302.931325
15,969,2273,2012,3153,2091,2753,2992,969,2268,2009,3157,2085,2753,2985,7,0,0,0,32.8612765,-253.97285,152.459543,298.036884
16,972,2069,2012,3232,2087,2803,3059,970,2067,2009,3236,2084,2805,3053,6,0,0,0,52.4856699,-256.042701,85.6249543,275.034985
17,980,1907,2013,3277,2086,2974,3059,978,1906,2010,3276,2084,2976,3053,6,0,0,0,53.0966055,-234.7351,20.7208095,241.555726
18,619,2204,2011,3276,2094,2702,2636,619,2206,2010,3276,2088,2704,2633,6,0,0,0,115.126365,-168.423747,125.924969,239.745149
19,1072,2253,2011,3276,2085,2710,3157,1069,2253,2010,3276,2078,2708,3152,7,0,0,0,-6.59389351,-228.675784,127.785149,262.040336
20,1254,2252,2012,3275,2085,2703,3332,1252,2253,2010,3276,2079,2700,3326,6,0,0,0,-55.9157832,-245.490162,105.558757,273.010339
21,1236,2035,2012,3214,2092,2863,3325,1235,2033,2010,3217,2085,2865,3318,7,0,0,0,-8.26591663,-280.621909,45.0544176,284.335861
22,961,1999,2011,3217,2094,2717,2986,961,1995,2010,3221,2087,2721,2980,7,0,0,0,73.3087884,-291.434084,76.9679155,310.212933
23,963,1790,2012,3272,2092,2926,2987,961,1789,2010,3275,2087,2929,2981,6,0,0,0,68.7445107,-253.899575,-0.28266669,263.041597
24,957,1972,2009,3277,2095,2957,2989,957,1973,2006,3276,2088,2959,2986,7,0,0,0,50.7744411,-230.720988,40.2008813,239.637913
25,957,2018,2010,3276,2095,2695,2990,957,2017,2007,3276,2088,2699,2985,7,0,0,0,63.3567122,-267.438143,85.3811037,287.797092
26,957,2063,2010,3276,2095,2654,2990,957,2066,2007,3276,2088,2658,2985,7,0,0,0,59.7753372,-266.395579,102.156532,291.505836
27,957,2065,2010,3276,2095,2654,2990,957,2063,2007,3277,2089,2658,2986,6,0,0,0,59.5655631,-265.98932,102.670882,291.272527
28,957,2067,2010,3276,2095,2654,2990,957,2067,2007,3277,2089,2658,2985,6,0,0,0,59.3144694,-265.588513,103.2038,291.043792
29,958,2070,2010,3276,2095,2657,2990,957,2069,2007,3276,2089,2661,2985,6,0,0,0,58.6091746,-264.643362,103.530868,290.154761
30,958,2072,2010,3276,2095,2662,2990,957,2074,2007,3276,2088,2665,2985,7,0,0,0,57.6897343,-263.025939,104.049071,288.681415
