pose_id,timestamp_ms,target_tick_0,target_tick_1,target_tick_2,target_tick_3,target_tick_4,target_tick_5,target_tick_6,actual_tick_0,actual_tick_1,actual_tick_2,actual_tick_3,actual_tick_4,actual_tick_5,actual_tick_6,actual_rad_0,actual_rad_1,actual_rad_2,actual_rad_3,actual_rad_4,actual_rad_5,actual_rad_6,moving_camera_q0,moving_camera_qx,moving_camera_qy,moving_camera_qz,moving_camera_tx_mm,moving_camera_ty_mm,moving_camera_tz_mm,moving_camera_error,moving_camera_frame,moving_camera_visible_markers,moving_accepted_samples,fixed_camera_q0,fixed_camera_qx,fixed_camera_qy,fixed_camera_qz,fixed_camera_tx_mm,fixed_camera_ty_mm,fixed_camera_tz_mm,fixed_camera_error,fixed_camera_frame,fixed_camera_visible_markers,fixed_accepted_samples,moving_relative_fixed_q0,moving_relative_fixed_qx,moving_relative_fixed_qy,moving_relative_fixed_qz,moving_relative_fixed_tx_mm,moving_relative_fixed_ty_mm,moving_relative_fixed_tz_mm,moving_relative_fixed_error,moving_relative_fixed_frame,moving_relative_fixed_visible_markers
858,1787146026599,740,2009,2012,3276,2093,2870,2775,743,2007,2009,3277,2089,2873,2779,-1.97822916357,-0.0614777161915,-0.075472255133,1.82850314333,0.0168737886667,1.28340115442,1.12462884604,0.201765255419,0.623374244431,-0.301755974027,0.692559503021,-187.863180033,285.798020426,-1769.4174113,0.16744975994,25387008,4,30,0.193487427018,-0.431097947365,-0.348787433573,-0.809360551019,-40.9741906484,97.2200920105,-1787.99550781,0.389319076141,25387008,4,30,-0.684977966314,0.693381099152,0.217960740403,-0.0502090892806,94.4119579285,-211.365318209,62.4038493742,0.423802743209,25387008,4
859,1787146038368,807,2004,2013,3276,2087,2882,2888,805,2007,2010,3277,2088,2883,2884,-1.88424432975,-0.0614777161915,-0.0739924069931,1.82850314333,0.0153398078789,1.29884521163,1.28616924116,0.184495944006,0.633031526329,-0.324188283795,0.678331990966,-185.583109029,288.446185303,-1782.46416423,0.165356978277,25387716,4,30,0.193412727529,-0.431043552227,-0.348674564181,-0.809456003255,-40.9820936839,97.2370480855,-1788.01370036,0.391749530037,25387716,4,30,-0.673223987756,0.700895405019,0.22164744093,-0.0799218709978,82.2742604958,-216.946620436,60.5499387831,0.425218325745,25387716,4
860,1787146053265,908,1980,2013,3276,2087,2912,2957,906,1986,2010,3277,2088,2913,2951,-1.73114000368,-0.093753517192,-0.0739924069931,1.82850314333,0.0153398078789,1.34517738327,1.38924739804,0.20652353976,0.62933999559,-0.313194169798,0.680579612889,-187.054597982,290.715757243,-1808.37479655,0.162525366247,25388610,4,30,0.193447691778,-0.430995338666,-0.34848539568,-0.809554777388,-40.9997067769,97.2601030986,-1788.04830729,0.403202142318,25388610,4,30,-0.673113985292,0.701474944551,0.227542307529,-0.0554523512209,61.4566919046,-229.688728414,51.3463785539,0.434725732208,25388610,4
861,1787146065675,1000,1982,2012,3276,2086,2905,3045,998,1986,2010,3276,2088,2907,3038,-1.59167863736,-0.093753517192,-0.0739924069931,1.82694697045,0.0153398078789,1.33591094894,1.523095154,0.206486075792,0.629842985186,-0.308661616203,0.682194489276,-184.931077067,296.603438314,-1828.55560303,0.163343432546,25389357,4,30,0.193385152505,-0.431391155115,-0.348385246903,-0.809401985307,-41.0477681478,97.2842610677,-1787.98063965,0.390436165531,25389357,4,30,-0.676413772279,0.698376369021,0.227749622674,-0.0535253700264,43.2803618223,-240.431967445,48.9504644281,0.423227452218,25389357,4
862,1787146077764,1103,1980,2012,3276,2087,2917,3140,1100,1986,2010,3276,2088,2916,3134,-1.43705842687,-0.093753517192,-0.0739924069931,1.82694697045,0.0153398078789,1.34981060043,1.67078922954,0.214725414254,0.627888898626,-0.310869611937,0.680447361542,-182.133765666,296.366300456,-1851.93504639,0.172633183002,25390083,4,30,0.193627639093,-0.431505719742,-0.348034104488,-0.80943400801,-41.083696111,97.3135648092,-1787.97090658,0.376726070046,25390083,4,30,-0.671944884194,0.702679213562,0.229156517548,-0.0471092973726,22.0366246158,-247.834300023,41.2440514381,0.414396848113,25390083,4
863,1787146089263,1193,1988,2013,3276,2085,2887,3254,1190,1987,2010,3276,2088,2888,3248,-1.30062882938,-0.0922165742872,-0.0739924069931,1.82694697045,0.0153398078789,1.30656724024,1.84617594424,0.190435397863,0.63934655763,-0.308584415246,0.678045719074,-180.504563904,299.33641154,-1872.29718018,0.171031973759,25390773,4,30,0.193354006492,-0.4314752054,-0.348011251375,-0.809525505599,-41.1384563446,97.3691080729,-1787.99588216,0.367472022772,25390773,4,30,-0.680545195168,0.69156286482,0.231615057498,-0.0703811514286,4.24551993845,-256.860440291,36.4019536099,0.40532409695,25390773,4
864,1787146101154,1302,2004,2012,3276,2085,2879,3355,1300,2005,2010,3277,2088,2881,3350,-1.13388154357,-0.0645516020011,-0.0739924069931,1.82850314333,0.0153398078789,1.29575640019,2.0031008995,0.201099425564,0.635901540669,-0.311339766918,0.676945936651,-173.294045003,296.75114034,-1898.06593018,0.16525388658,25391487,4,30,0.192515164933,-0.430393792797,-0.348170150115,-0.810232461064,-41.1925029755,97.4802360535,-1788.1379069,0.377004324396,25391487,4,30,-0.675057745728,0.696922588442,0.233953931705,-0.0621409968675,-20.4793113685,-260.794167522,28.4759722323,0.411632248061,25391487,4
865,1787146112258,1380,2013,2012,3276,2084,2834,3470,1375,2014,2010,3277,2088,2836,3464,-1.02019021233,-0.050719115858,-0.0739924069931,1.82850314333,0.0153398078789,1.22625814273,2.17848761421,0.170287729633,0.656879805104,-0.310176533176,0.665808928335,-169.438343302,297.401280721,-1918.03792318,0.158552442491,25392153,4,30,0.19210085453,-0.430057281567,-0.348451373177,-0.810388571483,-41.239520518,97.5158177694,-1788.16368001,0.364217446248,25392153,4,30,-0.681266032323,0.682786202954,0.245743725279,-0.0963826527189,-38.9239392097,-266.819645244,23.4234790009,0.397231953865,25392153,4
866,1787146123975,1475,2021,2012,3276,2086,2813,3531,1473,2022,2010,3277,2087,2814,3526,-0.871633539505,-0.0384235726197,-0.0739924069931,1.82850314333,0.013805827091,1.19228121686,2.27387337133,0.188517216322,0.659642506775,-0.287792595439,0.668212873579,-164.869403076,291.786046346,-1943.63476562,0.1634188205,25392858,4,30,0.192053487329,-0.430003235789,-0.348512273084,-0.810402289438,-41.2715963999,97.5788124084,-1788.20775146,0.370319494605,25392858,4,30,-0.688665014528,0.673857822539,0.25767109186,-0.0725378603794,-62.6032025048,-270.347013472,11.9898124508,0.404774306223,25392858,4
867,1787146136995,1557,2092,2012,3260,2086,2781,3609,1555,2095,2010,3276,2088,2782,3603,-0.74733101735,0.0737732594298,-0.0739924069931,1.82694697045,0.0153398078789,1.14286023378,2.39233632775,0.203284807109,0.643749083079,-0.307222930335,0.670728317809,-143.952607218,287.831593831,-1967.72884115,0.183983796835,25393641,4,30,0.191370025409,-0.429232555755,-0.348637365266,-0.810918561876,-41.3433085124,97.7155629476,-1788.31220296,0.399729594588,25393641,4,30,-0.674212095399,0.69342446606,0.246209070154,-0.0631003491379,-93.6629691365,-264.50445502,11.3024300027,0.440038391834,25393641,4
