capture_id,timestamp_ms,shoulder_roll_joint_rad,shoulder_pitch_joint_rad,shoulder_yaw_joint_rad,elbow_pitch_joint_rad,elbow_yaw_joint_rad,wrist_pitch_joint_rad,wrist_roll_joint_rad,moving_camera_q0,moving_camera_qx,moving_camera_qy,moving_camera_qz,moving_camera_tx_mm,moving_camera_ty_mm,moving_camera_tz_mm,moving_camera_error,moving_camera_frame,moving_camera_visible_markers,moving_accepted_samples,fixed_camera_q0,fixed_camera_qx,fixed_camera_qy,fixed_camera_qz,fixed_camera_tx_mm,fixed_camera_ty_mm,fixed_camera_tz_mm,fixed_camera_error,fixed_camera_frame,fixed_camera_visible_markers,fixed_accepted_samples,moving_relative_fixed_q0,moving_relative_fixed_qx,moving_relative_fixed_qy,moving_relative_fixed_qz,moving_relative_fixed_tx_mm,moving_relative_fixed_ty_mm,moving_relative_fixed_tz_mm,moving_relative_fixed_error,moving_relative_fixed_frame,moving_relative_fixed_visible_markers
1,1786045025420,-1.29608117613,-0.0445713442388,-0.0695528625735,1.79271116691,0.0322135965456,1.30193402307,1.80002154564,0.238382537743,0.62968393784,-0.302728996776,0.674556935059,-51.3549664815,156.539524841,-1060.0612793,0.118192866445,352286,4,30,0.14987590578,-0.452706641544,-0.336753745243,-0.811905674714,85.8713096619,-51.6065475464,-967.599005127,0.29098306795,352286,4,30,-0.695065782002,0.675238773247,0.240771987595,-0.0544518850269,10.3182180785,-264.836979704,21.4480539027,0.314071169501,352286,4
1,1786105528295,-1.29608117613,-0.0476452300484,-0.0695528625735,1.79271116691,0.0322135965456,1.30502283452,1.80156002559,0.218011021702,0.637821951307,-0.321615634753,0.664994538571,-52.8347662608,157.863048299,-1052.29881185,0.113085597257,58640,4,30,0.165148779491,-0.447786031591,-0.313469760815,-0.82094473602,85.7332265218,-54.1395557404,-972.644185384,0.291538742185,58640,4,30,-0.69471049611,0.675442148363,0.241066741271,-0.0551548462281,10.6602896146,-264.464218262,20.8827140232,0.312703038843,58640,4
1,1786106169451,-1.29608117613,-0.0368866297149,-0.0769521032728,1.82694697045,0.0122718463031,1.30193402307,1.80156002559,0.230057313017,0.627504298286,-0.339244248951,0.661985897066,-44.9116093953,150.490327454,-1037.00245361,0.117976314574,97149,4,30,0.170356276865,-0.447231730625,-0.304543611086,-0.82353852794,85.3865488688,-57.7198299408,-962.52769165,0.307358451684,97149,4,30,-0.683304348557,0.690772511189,0.232982965356,-0.0405887038696,6.31964452645,-255.566205252,22.8373966325,0.329222764435,97149,4
2,1786106190728,-0.829188775842,-0.0922165742872,-0.042915596056,1.82694697045,0.0122718463031,1.28494556014,2.22618049277,0.245188848428,0.649148323629,-0.301707130059,0.653805544644,-47.4023338318,124.670227305,-1110.22468669,0.130384462327,98427,4,30,0.170289694065,-0.446646347284,-0.304737726743,-0.823798141812,85.3424565633,-57.7248699188,-962.562343343,0.310031978289,98427,4,30,-0.694848841436,0.667840961499,0.266088001835,-0.0192539081488,-53.4292447278,-262.997072153,-25.9070329595,0.336333072382,98427,4
3,1786106225209,-1.86908548558,0.25359557929,-0.0680730144336,1.82694697045,0.0122718463031,1.00077490742,1.27386140153,0.208698168622,0.635371203005,-0.349022827272,0.656453787291,1.04620946248,178.698868815,-949.069321696,0.121777700633,100500,4,30,0.170183530297,-0.447028021801,-0.305892710898,-0.823184768542,87.0870274862,-56.6930135091,-988.859171549,0.304844865203,100500,4,30,-0.682130961037,0.689538347707,0.234015970407,-0.0668636271222,78.5190968035,-211.35918027,116.437284126,0.328268487997,100500,4
4,1786106243155,-1.87060137,0.25359557929,-0.0695528625735,1.82694697045,0.0122718463031,1.00077490742,1.27386140153,0.208686789045,0.635345521087,-0.349093210978,0.656444836191,1.05396703084,178.689061991,-949.00331014,0.121952631573,101577,4,30,0.170152757853,-0.447067978312,-0.305929040924,-0.823155929143,87.0822423299,-56.6845082601,-988.810933431,0.303187538187,101577,4,30,-0.682092712797,0.689586659076,0.233957143578,-0.0669613750038,78.5519718663,-211.324093549,116.4385838,0.326795238122,101577,4
5,1786106284877,-1.21573930206,0.557910274438,-0.0695528625735,1.82694697045,0.0153398078789,0.884944478316,1.92925386173,0.25823253665,0.591675525014,-0.414541796815,0.641397792956,79.2766138713,199.640126546,-1076.71003011,0.133033701777,104082,4,30,0.169189644954,-0.445886159745,-0.305956357137,-0.823984893135,86.8492245992,-56.5794364929,-988.821842448,0.308419645826,104082,4,30,-0.621800050324,0.75306359645,0.210413002265,-0.0445677640964,-71.0830343354,-228.812761548,126.578295258,0.33588784399,104082,4
6,1786106319439,-1.67202051143,0.928313514491,-0.273771905874,1.82539079756,0.013805827091,0.338224852969,1.71540514819,0.189554563866,0.588275914477,-0.367715733676,0.694827787996,156.547392782,272.774906413,-973.812184652,0.117352606853,106158,4,30,0.151519338334,-0.452339140649,-0.334846139887,-0.812594151191,87.0925153097,-12.1696311951,-984.120790609,0.299371067683,106158,4,30,-0.678863842137,0.706342183027,0.171487332216,-0.104003361503,-13.0682719336,-165.624223379,241.912119937,0.321550416732,106158,4
7,1786106370667,-1.75994180759,1.12657914921,-0.273771905874,1.26361238501,0.0153398078789,0.745947963398,1.68925098898,0.209077751987,0.608479809698,-0.379841086723,0.66464995573,174.357723999,288.04373881,-977.003887939,0.118659471224,109236,4,30,0.145984819494,-0.454759150874,-0.339744609634,-0.810219814247,86.9319501241,-64.4798728943,-993.42590332,0.30182159245,109236,4,30,-0.655653185637,0.717474850625,0.206328755641,-0.113036204289,-8.27021208086,-201.560116708,302.474739905,0.324309025129,109236,4
8,1786106500677,-1.17177865398,1.29103204002,-0.273771905874,1.51882473863,0.013805827091,0.330502824363,2.11079449625,0.11535253624,0.607145964057,-0.364719595254,0.696453291721,-48.0208503723,135.901637522,-1035.70669352,0.130265081674,117045,4,30,0.159140511829,-0.451151369878,-0.328074619987,-0.814557415209,85.0239339193,-47.5229532878,-952.099159749,0.287620400389,117045,4,30,-0.703203422246,0.674236674025,0.16015196695,-0.158937729388,8.71022479956,-241.206400851,8.90612245124,0.315744336803,117045,4
